commit	val_bpb	memory_gb	status	description
46294df	1.228006	1.7	keep	baseline
70a4278	1.227179	1.7	discard	torch.compile on Linux: no throughput gain (same 12% MFU)
0bb1b3c	1.028962	1.4	keep	DEPTH=6: 36 steps 18.9M tokens 42K tok/sec
0bb1b3c	0.794208	2.3	keep	DEPTH=4 (--depth 4): 62 steps 32.5M tokens 89K tok/sec
3bb451d	0.777060	2.3	keep	WARMDOWN_RATIO 0.5->0.3: GPU0 result
3bb451d	0.775165	2.3	keep	WARMDOWN_RATIO 0.5->0.3: GPU1 result (best)
cb6bd98	0.769305	2.3	keep	WARMDOWN=0.2 DEPTH=4 GPU0
cb6bd98	0.757124	2.2	keep	WARMDOWN=0.2 DEPTH=3 GPU1 (new best)
c4f7175	0.751611	2.2	keep	WARMDOWN=0.1 DEPTH=3 GPU0
c4f7175	0.707381	2.1	keep	WARMDOWN=0.1 DEPTH=2 GPU1 (best: 137 steps)
e558ac8	0.704718	8.2	keep	DEPTH=2 WARMDOWN=0.1 batch=32 GPU0 (after ollama stop)
e558ac8	0.701946	8.2	keep	DEPTH=2 WARMDOWN=0.1 batch=32 GPU1 (new best: 141 steps 227K t/s)
b28edc8	0.703671	8.2	discard	DEPTH=2 WARMDOWN=0.05 GPU0 (worse than 0.1)
b28edc8	0.749942	8.2	discard	DEPTH=1 WARMDOWN=0.05 GPU1 (178 steps but capacity too low)
